Subject,Body,IsSpam
Звіт за місяць,Прикріплюю звіт за поточний місяць,False
Зустріч завтра,Не забудьте про зустріч завтра о 10:00,False
Документи,Відправляю необхідні документи,False
Проект готовий,Проект завершено та готовий до перевірки,False
Відпустка,Подаю заявку на відпустку,False
Виграй мільйон!,Ти виграв мільйон доларів! Натисни тут!,True
Кредит онлайн,Отримай кредит без документів за 5 хвилин,True
Знижка 90%,Неймовірна знижка 90% на всі товари! Встигни!,True
Термінова допомога,Термінова фінансова допомога без відмов,True
Заробляй дома,Заробляй $5000 вдома не виходячи з дому,True
Безкоштовний iPhone,Отримай безкоштовний iPhone просто зараз,True
Лотерея,Вітаємо! Ви виграли в лотереї 1000000 грн,True
Швидкі гроші,Швидкі гроші без перевірок та довідок,True
Робота мрії,Робота мрії з зарплатою 100000 грн,True
Чудодійні таблетки,Схудни на 20 кг за тиждень з нашими таблетками,True
Нарада,Завтра о 14:00 нарада у конференц-залі,False
Технічна підтримка,Ваш запит до технічної підтримки опрацьовано,False
Замовлення,Ваше замовлення #12345 готове до видачі,False
Розклад,Новий розклад занять на наступний тиждень,False
Підписка,Ваша підписка закінчується через 3 дні,False
