Sender	Subject	Body	IsSpam
reports@company.com	Monthly Report	Attached is the report for the current month	False
meetings@calendar.com	Meeting Tomorrow	Don't forget about the meeting tomorrow at 10:00	False
hr@company.com	Documents	Sending the necessary documents	False
pm@projecthub.com	Project Ready	The project is completed and ready for review	False
vacations@company.com	Vacation	Submitting a vacation request	False
win@lottery-prize.com	Win a Million!	You won a million dollars! Click here!	True
loans@fastcash-now.com	Online Loan	Get a loan without documents in 5 minutes	True
deals@superdiscounts.com	90% Discount	Incredible 90% discount on all products! Hurry!	True
help@urgent-finance.org	Urgent Help	Urgent financial help without refusals	True
homejobs@easyprofit.net	Earn at Home	Make $5000 at home without leaving the house	True
promo@freeiphones.com	Free iPhone	Get a free iPhone right now	True
info@national-lottery.ua	Lottery	Congratulations! You won $1,000,000 in the lottery	True
cash@quickmoney.co	Quick Money	Quick money without checks and certificates	True
jobs@dream-career.net	Dream Job	Dream job with a salary of $100,000	True
ads@miraclepills.org	Miracle Pills	Lose 20 kg in a week with our pills	True
admin@company.com	Meeting Tomorrow	at 14:00 there is a meeting in the conference room	False
support@company.com	Tech Support	Your request to tech support has been processed	False
sales@onlinestore.com	Order	Your order #12345 is ready for pickup	False
schedule@university.edu	Schedule	New class schedule for next week	False
notices@subscription.com	Subscription	Your subscription expires in 3 days	False
finance@company.com	Budget Review	Please review the quarterly budget proposal	False
it@company.com	System Maintenance	Server maintenance scheduled for this weekend	False
legal@company.com	Contract Update	Updated contract terms for your review	False
training@company.com	Workshop Registration	Register for next month's professional development workshop	False
payroll@company.com	Payslip	Your payslip for this month is available	False
benefits@company.com	Health Insurance	Annual health insurance enrollment period	False
security@company.com	Password Reset	Your password has been successfully reset	False
marketing@company.com	Campaign Results	Q3 marketing campaign performance report	False
operations@company.com	Process Update	New operational procedures effective immediately	False
customer.service@retailstore.com	Order Confirmation	Thank you for your purchase! Order #67890	False
shipping@logistics.com	Delivery Update	Your package will arrive tomorrow between 2-4 PM	False
billing@utilities.com	Monthly Bill	Your electricity bill for March is ready	False
notifications@bank.com	Account Statement	Your monthly account statement is available	False
alerts@creditcard.com	Payment Reminder	Your credit card payment is due in 3 days	False
newsletter@techblog.com	Weekly Tech News	This week's top technology stories	False
updates@software.com	Version Update	New software version 2.1 is now available	False
events@conference.org	Conference Registration	Early bird registration ends next week	False
admissions@university.edu	Application Status	Your application has been received and is under review	False
library@university.edu	Book Due	Books are due back by end of week	False
registrar@university.edu	Grade Report	Your semester grades are now available	False
winner@prize-scam.net	URGENT WINNER!	You are the LUCKY WINNER of $500000! Act NOW!	True
money@get-rich-quick.org	Make Money Fast	Earn $10000 in just one week with our secret method	True
pharmacy@cheap-meds.biz	Cheap Medications	Buy prescription drugs without prescription! 90% off	True
casino@lucky-slots.info	Casino Bonus	$1000 FREE casino bonus! No deposit required!	True
dating@find-love.net	Find Your Match	Hot singles in your area want to meet you tonight	True
crypto@bitcoin-profit.org	Bitcoin Investment	Turn $100 into $10000 with our Bitcoin trading bot	True
weight@lose-fast.com	Lose Weight Now	Lose 30 pounds in 30 days without diet or exercise	True
credit@fix-score.net	Fix Credit Score	Increase your credit score by 200 points instantly	True
inheritance@african-prince.org	Inheritance Money	You have inherited $2000000 from distant relative	True
survey@fake-rewards.com	Complete Survey	$500 gift card for completing 5-minute survey	True
refund@tax-scam.gov	Tax Refund	You are eligible for $5000 tax refund! Click to claim	True
security@phishing-bank.net	Account Suspended	Your account will be closed! Verify immediately	True
support@fake-microsoft.org	Computer Infected	Your computer is infected! Download our antivirus now	True
winner@fake-sweepstakes.com	Sweepstakes Winner	Congratulations! You won our $25000 sweepstakes	True
grants@government-scam.org	Government Grant	You qualify for $50000 government grant! Apply now	True
investment@ponzi-scheme.net	Investment Opportunity	Guaranteed 500% return on investment in 30 days	True
loan@no-credit-check.biz	Instant Loan	Get $50000 loan with no credit check required	True
work@work-from-home.org	Work From Home	Make $8000 per month working from home part-time	True
pills@miracle-cure.net	Miracle Cure	Cure any disease with our revolutionary pills	True
watch@luxury-replica.com	Luxury Watches	Rolex replicas starting at $50! Look authentic	True
admin@company.com	Team Meeting	Weekly team meeting scheduled for Friday at 2 PM	False
hr@company.com	Benefits Enrollment	Open enrollment period starts next Monday	False
finance@company.com	Expense Report	Please submit your expense reports by month end	False
it@company.com	Password Policy	New password requirements effective next week	False
legal@company.com	Compliance Training	Mandatory compliance training due by Friday	False
marketing@company.com	Product Launch	New product launch meeting tomorrow at 10 AM	False
sales@company.com	Quarterly Results	Q4 sales results exceeded expectations	False
operations@company.com	Inventory Count	Annual inventory count scheduled for next week	False
facilities@company.com	Office Closure	Office will be closed for holiday on Monday	False
training@company.com	Skills Workshop	Register for Excel advanced skills workshop	False
communications@company.com	Company Newsletter	Monthly company newsletter now available	False
procurement@company.com	Vendor Meeting	Meeting with new vendor scheduled for Thursday	False
quality@company.com	Audit Results	Quality audit results and recommendations	False
safety@company.com	Safety Training	Mandatory safety training for all employees	False
wellness@company.com	Health Program	New employee wellness program launching	False
diversity@company.com	Inclusion Workshop	Diversity and inclusion workshop next month	False
innovation@company.com	Innovation Challenge	Submit your ideas for innovation challenge	False
sustainability@company.com	Green Initiative	New company sustainability initiatives	False
customer@company.com	Client Feedback	Important client feedback for your review	False
project@company.com	Milestone Update	Project milestone achieved ahead of schedule	False
noreply@amazon.com	Order Shipped	Your Amazon order has been shipped	False
noreply@paypal.com	Payment Received	Payment of $250.00 has been received	False
noreply@linkedin.com	Profile View	Someone viewed your LinkedIn profile	False
noreply@facebook.com	Friend Request	You have a new friend request	False
noreply@twitter.com	New Follower	You have 5 new followers	False
noreply@instagram.com	Photo Liked	Your photo received 100 likes	False
noreply@youtube.com	Video Comment	New comment on your video	False
noreply@netflix.com	New Episodes	New episodes of your favorite show available	False
noreply@spotify.com	Weekly Playlist	Your Discover Weekly playlist is ready	False
noreply@uber.com	Trip Receipt	Receipt for your trip on March 15th	False
noreply@airbnb.com	Booking Confirmed	Your booking for April 5-7 is confirmed	False
noreply@booking.com	Hotel Reservation	Hotel reservation confirmation	False
noreply@expedia.com	Flight Update	Flight delay notification for tomorrow's departure	False
noreply@delta.com	Check-in Reminder	Check-in now for your flight tomorrow	False
alerts@wells-fargo.com	Account Alert	Large transaction alert on your account	False
statements@chase.com	Monthly Statement	Your March credit card statement is ready	False
notifications@citi.com	Payment Posted	Your payment has been successfully processed	False
alerts@americanexpress.com	Card Activity	Recent activity on your Amex card	False
updates@discover.com	Cashback Reward	You earned $25 in cashback this month	False
support@apple.com	App Store Receipt	Receipt for your App Store purchase	False
noreply@google.com	Security Alert	Sign-in from new device detected	False
updates@microsoft.com	Office 365	Your Office 365 subscription is expiring soon	False
lottery@scammer.org	LOTTERY WINNER	YOU WON 1000000 EUROS IN INTERNATIONAL LOTTERY	True
prince@nigeria.fake	Business Proposal	I am Prince Johnson with business proposal for you	True
widow@inheritance.scam	Urgent Assistance	I am dying widow with 5 million to give you	True
banker@fake-transfer.net	Fund Transfer	Help me transfer 50 million dollars from bank	True
diplomat@fake-embassy.org	Diplomatic Package	You have package containing 2.5 million dollars	True
agent@fake-fbi.gov	FBI Investigation	You are under investigation! Pay fine immediately	True
irs@tax-fraud.scam	Tax Notice	You owe $15000 in back taxes! Pay now or face arrest	True
microsoft@fake-support.net	Windows License	Your Windows license expired! Renew now	True
amazon@account-scam.org	Account Suspended	Your Amazon account suspended! Verify now	True
paypal@phishing-site.net	Payment Issue	Problem with your PayPal payment! Update info	True
ebay@fake-ebay.scam	Second Chance	Second chance offer for item you didn't win	True
facebook@security-fake.org	Security Check	Your Facebook account needs security verification	True
google@account-phish.net	Account Recovery	Suspicious activity on your Google account	True
apple@id-scam.org	Apple ID Locked	Your Apple ID has been locked for security	True
netflix@billing-scam.net	Billing Issue	Problem with your Netflix billing information	True
ups@package-scam.org	Package Delivery	Package delivery failed! Reschedule now	True
fedex@tracking-fake.net	Delivery Update	Unable to deliver package! Update address	True
dhl@shipping-scam.org	Shipping Notice	Customs fee required for package delivery	True
usps@postal-fraud.net	Postal Service	Package held at post office! Pay fee to release	True
instagram@verify-scam.org	Verification Badge	Get your Instagram verification badge now	True
whatsapp@fake-update.net	WhatsApp Update	Update WhatsApp now or lose your account	True
telegram@security-fake.org	Security Alert	Your Telegram account will be deleted	True
